codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
110001,202603,1494,1043271,701.59
110002,202603,7018,4876475,699.94
110003,202603,336,237859,710.03
110004,202603,5591,3819614,683.91
110005,202603,1086,738495,680.64
110006,202603,421,280120,670.14
110007,202603,266,188935,710.28
110008,202603,1844,1296823,705.95
110009,202603,1153,738821,642.45
110010,202603,4888,3737572,768.1
110011,202603,3111,1991452,641.37
110012,202603,7019,4808602,687.24
110013,202603,2246,1503856,670.47
110014,202603,1327,857523,647.68
110015,202603,2200,1449714,662.57
110018,202603,1163,781423,673.06
110020,202603,48906,33738334,691.83
110025,202603,1643,1055823,644.97
110026,202603,188,121443,649.43
110028,202603,1950,1273268,657.68
110029,202603,500,322719,648.03
110030,202603,4467,3032408,682.05
110032,202603,1043,713396,683.98
110033,202603,2507,1833604,733.74
110034,202603,1236,826445,671.91
110037,202603,352,226128,646.08
110040,202603,1209,850838,705.5
110045,202603,1793,1242028,696.2
110050,202603,447,291227,651.51
110060,202603,272,174945,645.55
110070,202603,485,315829,651.19
110080,202603,3518,2399350,694.86
110090,202603,209,143679,687.46
110092,202603,884,618102,701.59
110094,202603,1265,922625,729.92
110100,202603,785,498151,635.4
110110,202603,786,553435,705.91
110120,202603,639,440738,689.73
110130,202603,683,447154,656.61
110140,202603,1276,877087,688.99
110143,202603,684,457476,672.76
110145,202603,333,223589,671.44
110146,202603,260,186955,719.06
110147,202603,263,172308,655.16
110148,202603,187,118004,631.04
110149,202603,1291,863082,671.14
110150,202603,775,546109,704.66
110155,202603,355,234199,663.45
110160,202603,467,320161,687.04
110170,202603,895,600863,673.61
110175,202603,959,655660,684.41
110180,202603,461,312441,677.75
120001,202603,2070,1448084,699.9
120005,202603,1740,1423740,818.24
120010,202603,4344,3108590,715.61
120013,202603,1879,1355515,721.79
120017,202603,1763,1269206,720.32
120020,202603,13937,10301518,739.57
120025,202603,2327,1628044,699.93
120030,202603,5695,4501092,792.45
120032,202603,1707,1506666,883.68
120033,202603,4426,3268959,738.75
120034,202603,2536,1942241,767.38
120035,202603,3581,2834501,791.54
120038,202603,2125,1459310,689.0
120039,202603,2078,1678249,811.14
120040,202603,42114,28812312,686.53
120042,202603,2984,2222674,744.86
120043,202603,1143,1022648,894.71
120045,202603,3095,2229626,722.5
120050,202603,8708,6252452,718.01
120060,202603,8612,6834895,794.76
120070,202603,2631,1876223,713.39
120080,202603,3749,2650247,709.0
130002,202603,3246,2475144,763.23
130006,202603,2811,2136829,760.17
130008,202603,2268,1733997,765.56
130010,202603,3773,2663926,709.81
130014,202603,2185,1536993,706.66
130020,202603,2120,1792713,847.22
130030,202603,15021,10689313,712.81
130040,202603,3425,2664311,777.9
130050,202603,5781,4670407,808.73
130060,202603,7389,6016883,814.3
130063,202603,5053,4043871,802.36
130068,202603,3698,2762494,747.43
130070,202603,5857,4188595,715.88
130080,202603,6581,5015775,762.28
130083,202603,2612,1925734,737.26
130090,202603,3382,2261376,671.23
130100,202603,5701,4231538,745.78
130110,202603,5305,3964409,747.86
130115,202603,4125,2970103,721.07
130120,202603,14683,10878448,742.0
130130,202603,3970,3099301,780.68
130140,202603,6238,4704157,754.11
130150,202603,4065,2913470,718.31
130160,202603,6572,4778400,727.08
130165,202603,3027,2311588,763.66
130170,202603,11116,7926547,713.97
130180,202603,4635,3508012,757.18
130185,202603,13814,9787962,709.89
130190,202603,15937,11769492,739.38
130195,202603,1977,1610112,814.42
130200,202603,1938,1383128,716.28
130210,202603,1439,1127506,784.08
130220,202603,2487,1835845,738.77
130230,202603,4572,3873670,853.8
130240,202603,12290,8765769,713.77
130250,202603,19643,14490328,738.21
130255,202603,3718,2691405,728.0
130260,202603,231854,166046177,718.25
130270,202603,8248,6226699,756.31
130280,202603,2984,2505123,841.78
130290,202603,13346,10241573,767.85
130300,202603,4060,2999816,738.87
130310,202603,5862,4352979,744.99
130320,202603,2325,1762633,759.43
130330,202603,3840,2863300,746.43
130340,202603,20449,15142793,741.31
130350,202603,3334,2654416,796.64
