codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
110001,202512,1521,1040611.0,714.71
110002,202512,7224,4944718.0,710.75
110003,202512,324,226174.0,727.25
110004,202512,5539,3728813.0,708.63
110005,202512,1112,771917.0,728.91
110006,202512,439,297875.0,744.69
110007,202512,259,176895.0,722.02
110008,202512,1870,1311993.0,736.66
110009,202512,1233,784757.0,678.86
110010,202512,5001,3797775.0,788.41
110011,202512,3196,2066319.0,681.73
110012,202512,7386,5058195.0,724.57
110013,202512,2440,1630597.0,720.55
110014,202512,1343,856900.0,662.21
110015,202512,2308,1515570.0,685.47
110018,202512,1158,769286.0,720.98
110020,202512,49040,33694302.0,726.8
110025,202512,1724,1121475.0,696.57
110026,202512,192,126099.0,685.32
110028,202512,1974,1297528.0,702.51
110029,202512,523,341748.0,680.77
110030,202512,4525,3007415.0,721.03
110032,202512,1049,701800.0,704.62
110033,202512,2566,1860429.0,769.09
110034,202512,1219,813522.0,708.03
110037,202512,372,237738.0,662.22
110040,202512,1168,803271.0,717.21
110045,202512,1840,1257776.0,719.96
110050,202512,452,295577.0,679.49
110060,202512,281,183896.0,678.58
110070,202512,498,331874.0,721.47
110080,202512,3654,2469630.0,714.18
110090,202512,220,148038.0,751.46
110092,202512,887,627430.0,738.15
110094,202512,1272,909666.0,740.17
110100,202512,817,513580.0,668.72
110110,202512,785,547107.0,718.93
110120,202512,642,445389.0,720.69
110130,202512,722,469039.0,685.73
110140,202512,1330,907107.0,735.69
110143,202512,687,460979.0,736.39
110145,202512,336,217607.0,680.02
110146,202512,259,181646.0,723.69
110147,202512,261,171259.0,704.77
110148,202512,184,118453.0,669.23
110149,202512,1318,879043.0,711.78
110150,202512,815,548773.0,745.62
110155,202512,366,245921.0,706.67
110160,202512,478,323168.0,713.4
110170,202512,933,634132.0,729.73
110175,202512,1007,687087.0,714.97
110180,202512,470,310997.0,716.58
120001,202512,2125,1459678.0,710.65
120005,202512,1761,1449182.0,834.78
120010,202512,4431,3180043.0,733.91
120013,202512,1943,1405650.0,733.64
120017,202512,1840,1323085.0,734.23
120020,202512,14230,10519090.0,752.44
120025,202512,2395,1669108.0,718.2
120030,202512,5760,4518737.0,802.48
120032,202512,1731,1526623.0,900.66
120033,202512,4444,3256038.0,748.86
120034,202512,2564,1952416.0,773.23
120035,202512,3670,2896603.0,808.66
120038,202512,2241,1523733.0,702.18
120039,202512,2073,1677513.0,821.5
120040,202512,42035,28680052.0,705.54
120042,202512,3071,2301068.0,757.93
120043,202512,1195,1064548.0,934.63
120045,202512,3184,2256085.0,725.43
120050,202512,8938,6457944.0,732.61
120060,202512,8803,6999209.0,810.84
120070,202512,2714,1931365.0,720.93
120080,202512,3815,2725914.0,720.38
130002,202512,3326,2529119.0,783.49
130006,202512,2806,2151611.0,771.19
130008,202512,2288,1763030.0,778.72
130010,202512,3802,2678835.0,721.67
130014,202512,2216,1551514.0,729.78
130020,202512,2150,1798190.0,880.6
130030,202512,14754,10278189.0,723.51
130040,202512,3462,2701496.0,816.16
130050,202512,5824,4711234.0,842.34
130060,202512,7317,6004788.0,835.97
130063,202512,5094,4042697.0,817.2
130068,202512,3767,2806931.0,762.13
130070,202512,6051,4374059.0,747.06
130080,202512,6656,5040746.0,788.36
130083,202512,2665,1982490.0,761.32
130090,202512,3466,2343715.0,683.3
130100,202512,5781,4287385.0,760.58
130110,202512,5286,3840646.0,757.08
130115,202512,4184,2996017.0,751.63
130120,202512,14916,11222920.0,777.21
130130,202512,4064,3092609.0,828.01
130140,202512,6468,4990076.0,791.57
130150,202512,4004,2918506.0,739.61
130160,202512,6581,4674251.0,723.46
130165,202512,3071,2351152.0,788.71
130170,202512,11277,8005951.0,733.82
130180,202512,4649,3463813.0,766.33
130185,202512,14402,10098907.0,734.73
130190,202512,16330,12007247.0,792.71
130195,202512,2042,1751094.0,875.98
